"country","year","continent","oil_consumption"
"Indonesia",1968,"Asia",4.26702254666324
"Indonesia",1969,"Asia",4.33524944311495
"Indonesia",1970,"Asia",4.39448619102362
"Indonesia",1971,"Asia",4.43026902979762
"Indonesia",1972,"Asia",4.50859320412876
"Indonesia",1973,"Asia",4.68568970304689
"Indonesia",1974,"Asia",4.72942114832595
"Indonesia",1975,"Asia",4.86644154576045
"Indonesia",1976,"Asia",4.9409779161595
"Indonesia",1977,"Asia",5.10575151569796
"Indonesia",1978,"Asia",5.20435827361465
"Indonesia",1979,"Asia",5.29118700583892
"Indonesia",1980,"Asia",5.40359587884368
"Indonesia",1981,"Asia",5.51371096440219
"Indonesia",1982,"Asia",5.55228493879444
"Indonesia",1983,"Asia",5.53269359447536
"Indonesia",1984,"Asia",5.58434181590145
"Indonesia",1985,"Asia",5.56895881884773
"Indonesia",1986,"Asia",5.65382863367747
"Indonesia",1987,"Asia",5.69229339386768
"Indonesia",1988,"Asia",5.74255116258455
"Indonesia",1989,"Asia",5.79971973053449
"Indonesia",1990,"Asia",5.93768658955248
"Indonesia",1991,"Asia",5.99671324854365
"Indonesia",1992,"Asia",6.07249599658443
"Indonesia",1993,"Asia",6.12210238243046
"Indonesia",1994,"Asia",6.14826100947803
"Indonesia",1995,"Asia",6.21173998932668
"Indonesia",1996,"Asia",6.27529107147734
"Indonesia",1997,"Asia",6.37743248126434
"Indonesia",1998,"Asia",6.32942852766859
"Indonesia",1999,"Asia",6.37451361593181
"Indonesia",2000,"Asia",6.49104821623382
"Indonesia",2001,"Asia",6.50486435481772
"Indonesia",2002,"Asia",6.54062443355379
